california_county,ces_score,ces_percentile,traffic,traffic_percentile
Fresno ,89.22,100,1217.53568,66.95
Fresno ,83.71,100,666.915834,36.06
Fresno ,83.47,100,1012.283892,59.69
Fresno ,83.08,100,785.580102,45.43
Fresno ,82.95,100,838.783805,49.37
San Bernardino,80.7,100,1232.874128,67.41
Fresno ,80.05,100,352.831826,14.1
Fresno ,78.84,100,1467.881111,73.02
Fresno ,77.86,100,415.383766,17.54
Los Angeles,77.8,100,4181.53668,97.23
Fresno ,76.84,100,868.095374,51.32
Fresno ,76.64,100,240.282665,8.37
Los Angeles,76.32,100,1497.56685,73.58
Fresno ,75.56,100,1623.278001,75.65
Kern ,75.5,100,967.508603,57.29
Fresno ,75.2,100,1519.034052,73.97
Fresno ,74.97,100,896.780802,53.14
San Bernardino,73.42,100,1461.890798,72.86
Fresno ,73.17,100,484.684171,22.28
Fresno ,73.12,100,97.010976,1.75
Fresno ,72.18,100,675.87002,36.82
San Bernardino,72.07,100,2473.710725,86.07
Los Angeles,71.55,100,787.306217,45.58
Fresno ,71.04,100,688.473469,37.76
Fresno ,70.77,100,920.519538,54.61
Fresno ,70.32,100,1332.894984,70.06
San Joaquin,70.05,100,1438.680807,72.4
Los Angeles,70.03,100,4398.842052,97.84
Kern ,69.94,100,1096.590346,63.09
Fresno ,69.72,100,499.719553,23.38
Los Angeles,69.14,100,2969.862976,90.51
Los Angeles,68.91,100,4336.914414,97.69
San Joaquin,68.63,100,1582.729128,75
Kings ,68.62,100,329.351956,12.69
Riverside ,68.62,100,3071.534981,91.36
San Bernardino,68.35,100,1711.477709,76.97
San Bernardino,68.29,100,1114.309016,63.76
San Bernardino,68.08,100,4314.188789,97.59
Fresno ,68.07,100,1817.35548,78.36
Los Angeles,68.04,100,763.875096,43.73
Los Angeles,67.67,100,3159.526026,91.97
San Bernardino,67.53,100,1238.254677,67.54
Stanislaus ,67.49,100,1473.214492,73.14
Los Angeles,67.33,100,4248.567273,97.39
Riverside ,67.25,100,2590.564273,87.36
Los Angeles,66.96,100,3600.760996,94.86
Los Angeles,66.91,100,2807.961903,89.11
Los Angeles,66.83,100,3017.142481,90.96
Los Angeles,66.81,100,769.287972,44.13
Los Angeles,66.7,100,2973.705969,90.52
Riverside ,66.45,100,2588.805409,87.33
Los Angeles,66.33,100,3147.480912,91.87
Los Angeles,66.19,100,607.697829,30.95
