STNAME,COUNTY/METRO,total_houses,renter_houses,percent_rent,min_wage,mean_rent_wage,studio,one_bed,two_bed,three_bed,four_bed,median_rent_income,med_income_afford,min_wage_afford,full_time_afford
California,,"12,807,387","5,878,380",46,$11.00,$21.50,"$1,131","$1,335","$1,699","$2,341","$2,702","$46,952","$1,174",$572,"$1,118"
California,,"326,743","115,571",35,$11.00,$12.10,$643,$735,$955,"$1,355","$1,550","$31,658",$791,$572,$629
California,Bakersfield MSA,"262,337","113,028",43,$11.00,$13.14,$672,$695,$904,"$1,303","$1,550","$33,325",$833,$572,$683
California,Chico MSA,"85,505","35,454",41,$11.00,$12.53,$712,$785,$992,"$1,443","$1,689","$30,635",$766,$572,$652
California,El Centro MSA,"45,800","20,256",44,$11.00,$8.82,$575,$687,$901,"$1,199","$1,564","$26,581",$665,$572,$459
California,Fresno MSA,"299,456","142,229",47,$11.00,$12.44,$697,$771,$958,"$1,368","$1,599","$30,124",$753,$572,$647
California,Hanford-Corcoran MSA,"41,845","20,865",50,$11.00,$13.47,$747,$752,$929,"$1,331","$1,496","$36,146",$904,$572,$700
California,Los Angeles-Long Beach-Glendale HMFA,"3,281,845","1,782,269",54,$11.00,$20.59,"$1,067","$1,284","$1,663","$2,231","$2,467","$42,390","$1,060",$572,"$1,071"
California,Madera MSA,"43,574","17,116",39,$11.00,$12.81,$718,$723,$962,"$1,361","$1,548","$31,749",$794,$572,$666
California,Merced MSA,"78,270","37,381",48,$11.00,$13.15,$542,$623,$790,"$1,149","$1,368","$32,834",$821,$572,$684
California,Modesto MSA,"170,328","73,980",43,$11.00,$14.12,$727,$809,"$1,035","$1,478","$1,772","$35,149",$879,$572,$734
California,Napa MSA,"49,375","18,964",38,$11.00,$18.39,"$1,005","$1,196","$1,575","$2,286","$2,533","$56,115","$1,403",$572,$956
California,Oakland-Fremont HMFA,"951,833","405,144",43,$11.00,$22.07,"$1,540","$1,855","$2,329","$3,219","$3,946","$54,438","$1,361",$572,"$1,148"
California,Oxnard-Thousand Oaks-Ventura MSA,"269,338","98,461",37,$11.00,$17.19,"$1,109","$1,308","$1,739","$2,455","$2,938","$54,151","$1,354",$572,$894
California,Redding MSA,"69,713","26,421",38,$11.00,$13.19,$658,$713,$915,"$1,331","$1,612","$32,419",$810,$572,$686
California,Riverside-San Bernardino-Ontario MSA,"1,324,638","504,138",38,$11.00,$13.81,$768,$926,"$1,156","$1,618","$2,004","$39,538",$988,$572,$718
California,Sacramento--Roseville--Arden-Arcade HMFA,"731,593","294,038",40,$11.00,$16.28,$757,$860,"$1,086","$1,580","$1,913","$40,405","$1,010",$572,$847
California,Salinas MSA,"125,916","63,315",50,$11.00,$15.86,$986,"$1,146","$1,433","$2,074","$2,215","$48,637","$1,216",$572,$825
